Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Chokri,India,IND,Vulnerable,84000.0,25.8691,94.7131,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Sangtam,India,IND,Vulnerable,84000.0,26.6032,94.9603,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mao,India,IND,Vulnerable,81000.0,25.5027,94.2681,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Bhadravahi,"India, Pakistan",IND,Definitely endangered,66918.0,33.5413,76.333,4.184796296296296,29.0,57.13,Moderate Proficiency,2,545871973314.2758
Kinnauri,India,IND,Definitely endangered,65097.0,31.541,78.3764,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Chang,India,IND,Vulnerable,62000.0,26.2934,94.9493,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Churahi,India,IND,Definitely endangered,61199.0,33.1835,76.5747,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Nruanghmei,India,IND,Vulnerable,61000.0,24.9661,93.5375,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Rengma,India,IND,Vulnerable,61000.0,25.958,94.2462,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kachari,India,IND,Definitely endangered,59000.0,25.2844,93.2189,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Parji,India,IND,Critically endangered,51216.0,18.5629,82.8039,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Hmar,India,IND,Vulnerable,50000.0,24.577,93.3178,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Paite,India,IND,Vulnerable,50000.0,24.1968,93.3563,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Wancho,India,IND,Vulnerable,49000.0,26.9759,95.4656,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Bhumji,India,IND,Vulnerable,47000.0,21.8003,86.8139,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kheza,India,IND,Vulnerable,41000.0,25.6811,94.367,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Gutob,India,IND,Vulnerable,40000.0,18.7086,83.5839,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Minyong,India,IND,Vulnerable,40000.0,28.2632,95.0537,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Tangsa,India,IND,Vulnerable,40000.0,27.4059,96.427,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Khiamngan,India,IND,Vulnerable,38000.0,26.0518,95.1031,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Maram,India,IND,Vulnerable,37000.0,25.185,93.9715,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Apatani,India,IND,Vulnerable,35000.0,27.5228,93.8177,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Galo,India,IND,Vulnerable,35000.0,28.1688,94.7433,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Korwa,India,IND,Vulnerable,35000.0,22.4922,84.1552,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Liangmai,India,IND,Vulnerable,34000.0,25.2794,93.6694,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Zeme,India,IND,Vulnerable,34000.0,25.5027,93.5595,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Nocte,India,IND,Vulnerable,33000.0,27.1618,95.7952,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Sirmaudi,India,IND,Critically endangered,31144.0,30.9823,77.1569,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Koch,India,IND,Definitely endangered,31000.0,25.7603,90.3955,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Tagin,India,IND,Vulnerable,30000.0,28.038,94.2022,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mzieme,India,IND,Vulnerable,29000.0,25.6019,93.8891,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Deori,India,IND,Definitely endangered,28000.0,27.1911,94.1528,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Gadaba,India,IND,Critically endangered,26262.0,18.3858,82.7819,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Koda,India,IND,Vulnerable,25000.0,22.1263,87.0776,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Anal,India,IND,Vulnerable,23000.0,24.1517,93.9385,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Juang,India,IND,Definitely endangered,23000.0,21.0742,85.6164,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Tiwa,India,IND,Definitely endangered,23000.0,25.7801,92.5927,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Mara,India,IND,Definitely endangered,22000.0,23.5237,92.9003,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Maring,India,IND,Vulnerable,22000.0,24.6769,94.3835,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Bangni,India,IND,Vulnerable,20000.0,28.0331,93.0651,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Khoirao,India,IND,Vulnerable,20000.0,25.2198,94.1583,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Manchad,India,IND,Vulnerable,20000.0,32.6578,77.5415,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Padam,India,IND,Vulnerable,20000.0,28.2463,95.3668,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Biete,India,IND,Definitely endangered,19000.0,25.6514,93.2409,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Hrangkhol,India,IND,Vulnerable,19000.0,24.1467,92.3071,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Pochuri,India,IND,Vulnerable,17000.0,25.6712,94.779,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Koraga,India,IND,Critically endangered,16665.0,11.6952,75.6738,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Pangvali,India,IND,Critically endangered,16285.0,33.4589,76.9152,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Gangte,India,IND,Definitely endangered,15000.0,24.1968,93.587,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Nahali,India,IND,Definitely endangered,15000.0,21.4735,74.0258,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kuruba,India,IND,Critically endangered,14613.0,11.4369,76.3549,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
