Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band
Remo,India,IND,Severely endangered,2500.0,19.1659,82.6391,4.184796296296296,28.0,57.13,Moderate Proficiency
Aiton,India,IND,Severely endangered,2000.0,26.6523,94.2901,4.184796296296296,28.0,57.13,Moderate Proficiency
Birhor,India,IND,Critically endangered,2000.0,21.7594,85.935,4.184796296296296,28.0,57.13,Moderate Proficiency
Jangshung,India,IND,Definitely endangered,2000.0,31.7748,78.4753,4.184796296296296,28.0,57.13,Moderate Proficiency
Kota,India,IND,Critically endangered,2000.0,11.4154,76.8576,4.184796296296296,28.0,57.13,Moderate Proficiency
Luro,India,IND,Critically endangered,2000.0,7.915,93.3837,4.184796296296296,28.0,57.13,Moderate Proficiency
Milang,India,IND,Definitely endangered,2000.0,28.488000000000003,95.2954,4.184796296296296,28.0,57.13,Moderate Proficiency
Nihali,India,IND,Critically endangered,2000.0,20.5402,76.0913,4.184796296296296,28.0,57.13,Moderate Proficiency
Tai Phake,India,IND,Severely endangered,2000.0,27.5033,95.2185,4.184796296296296,28.0,57.13,Moderate Proficiency
Darma,"India, Nepal",IND,Definitely endangered,1761.0,30.0037,80.5641,4.184796296296296,28.0,57.13,Moderate Proficiency
Byangsi,"India, Nepal",IND,Definitely endangered,1734.0,30.0595,80.7824,4.184796296296296,28.0,57.13,Moderate Proficiency
Kanashi,India,IND,Definitely endangered,1500.0,32.0406,77.1075,4.184796296296296,28.0,57.13,Moderate Proficiency
Lishpa,India,IND,Definitely endangered,1500.0,27.3327,92.384,4.184796296296296,28.0,57.13,Moderate Proficiency
Sanenyo,India,IND,Critically endangered,1300.0,7.9504,93.57600000000001,4.184796296296296,28.0,57.13,Moderate Proficiency
Pengo,India,IND,Critically endangered,1254.0,19.0621,83.4851,4.184796296296296,28.0,57.13,Moderate Proficiency
Koireng,India,IND,Critically endangered,1056.0,24.2319,93.7463,4.184796296296296,28.0,57.13,Moderate Proficiency
Toda,India,IND,Critically endangered,1006.0,11.3184,76.8273,4.184796296296296,28.0,57.13,Moderate Proficiency
Khowa,India,IND,Definitely endangered,1000.0,27.2546,92.5323,4.184796296296296,28.0,57.13,Moderate Proficiency
Mech,India,IND,Severely endangered,1000.0,26.5688,89.1979,4.184796296296296,28.0,57.13,Moderate Proficiency
Pasi,India,IND,Definitely endangered,1000.0,28.1834,95.2651,4.184796296296296,28.0,57.13,Moderate Proficiency
Toto,India,IND,Critically endangered,1000.0,26.6867,89.5056,4.184796296296296,28.0,57.13,Moderate Proficiency
Tarao,India,IND,Critically endangered,870.0,24.296999999999997,93.4497,4.184796296296296,28.0,57.13,Moderate Proficiency
Purum,India,IND,Critically endangered,503.0,24.3521,93.5925,4.184796296296296,28.0,57.13,Moderate Proficiency
Kundal Shahi,"India, Pakistan",IND,Definitely endangered,500.0,34.55,73.8833,4.184796296296296,28.0,57.13,Moderate Proficiency
Lamongse,India,IND,Critically endangered,400.0,7.3134,93.6968,4.184796296296296,28.0,57.13,Moderate Proficiency
Aka,India,IND,Critically endangered,300.0,11.0112,34.2333,4.184796296296296,28.0,57.13,Moderate Proficiency
Handuri,India,IND,Critically endangered,138.0,31.0011,77.3107,4.184796296296296,28.0,57.13,Moderate Proficiency
Ruga,India,IND,Critically endangered,100.0,25.2844,90.4614,4.184796296296296,28.0,57.13,Moderate Proficiency
Shompen,India,IND,Critically endangered,100.0,7.0245,93.8232,4.184796296296296,28.0,57.13,Moderate Proficiency
Tai Nora,India,IND,Critically endangered,100.0,26.8485,94.5648,4.184796296296296,28.0,57.13,Moderate Proficiency
Tai Rong,India,IND,Critically endangered,100.0,26.9024,94.757,4.184796296296296,28.0,57.13,Moderate Proficiency
Tangam,India,IND,Critically endangered,100.0,29.1473,94.5538,4.184796296296296,28.0,57.13,Moderate Proficiency
Onge,India,IND,Critically endangered,50.0,10.639000000000001,92.4938,4.184796296296296,28.0,57.13,Moderate Proficiency
Sentilese,India,IND,Critically endangered,50.0,11.5446,92.2576,4.184796296296296,28.0,57.13,Moderate Proficiency
Jarawa,India,IND,Critically endangered,31.0,12.6028,92.75200000000001,4.184796296296296,28.0,57.13,Moderate Proficiency
Great andamanese,India,IND,Critically endangered,5.0,12.2326,92.9031,4.184796296296296,28.0,57.13,Moderate Proficiency
Ahom,India,IND,Extinct,0.0,26.5393,92.5378,4.184796296296296,28.0,57.13,Moderate Proficiency
Andro,India,IND,Extinct,0.0,24.8415,94.0539,4.184796296296296,28.0,57.13,Moderate Proficiency
Chairel,India,IND,Extinct,0.0,24.976,94.2407,4.184796296296296,28.0,57.13,Moderate Proficiency
Rangkas,India,IND,Extinct,0.0,30.0358,80.1342,4.184796296296296,28.0,57.13,Moderate Proficiency
Sengmai,India,IND,Extinct,0.0,24.6445,94.0567,4.184796296296296,28.0,57.13,Moderate Proficiency
A'tong,India,IND,Severely endangered,,25.2844,91.1755,4.184796296296296,28.0,57.13,Moderate Proficiency
Balti,"India, Pakistan",IND,Vulnerable,,35.0659,76.1901,4.184796296296296,28.0,57.13,Moderate Proficiency
Bellari,India,IND,Critically endangered,,11.6952,76.4648,4.184796296296296,28.0,57.13,Moderate Proficiency
